,1
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,97231
<http://dbpedia.org/ontology/starring>,7122
<http://dbpedia.org/ontology/birthPlace>,6117
<http://dbpedia.org/ontology/genre>,4968
<http://www.w3.org/2000/01/rdf-schema#seeAlso>,4321
<http://dbpedia.org/ontology/country>,2890
<http://dbpedia.org/ontology/occupation>,2805
<http://dbpedia.org/ontology/associatedMusicalArtist>,2791
<http://dbpedia.org/ontology/associatedBand>,2791
<http://dbpedia.org/ontology/recordLabel>,2704
<http://dbpedia.org/ontology/instrument>,2704
<http://dbpedia.org/ontology/distributor>,2156
<http://dbpedia.org/ontology/type>,2131
<http://dbpedia.org/ontology/producer>,1801
<http://dbpedia.org/ontology/isPartOf>,1731
<http://dbpedia.org/ontology/timeZone>,1706
<http://dbpedia.org/ontology/deathPlace>,1571
<http://dbpedia.org/ontology/stylisticOrigin>,1457
<http://dbpedia.org/ontology/musicComposer>,1446
<http://dbpedia.org/ontology/affiliation>,1433
<http://dbpedia.org/ontology/director>,1299
<http://dbpedia.org/ontology/cinematography>,1087
<http://dbpedia.org/ontology/writer>,1068
<http://dbpedia.org/ontology/influencedBy>,985
<http://dbpedia.org/ontology/almaMater>,978
<http://dbpedia.org/ontology/editing>,971
<http://dbpedia.org/ontology/hometown>,953
<http://dbpedia.org/ontology/location>,872
<http://dbpedia.org/ontology/state>,865
<http://dbpedia.org/ontology/language>,862
<http://dbpedia.org/ontology/governmentType>,797
<http://dbpedia.org/ontology/populationPlace>,723
<http://dbpedia.org/ontology/team>,719
<http://dbpedia.org/ontology/residence>,675
<http://dbpedia.org/ontology/city>,642
<http://dbpedia.org/ontology/influenced>,637
<http://dbpedia.org/ontology/award>,477
<http://dbpedia.org/ontology/derivative>,468
<http://dbpedia.org/ontology/spouse>,464
<http://dbpedia.org/ontology/format>,447
<http://dbpedia.org/ontology/religion>,446
<http://dbpedia.org/ontology/campus>,402
<http://dbpedia.org/ontology/athletics>,400
<http://www.w3.org/2002/07/owl#differentFrom>,375
<http://dbpedia.org/ontology/industry>,368
<http://dbpedia.org/ontology/nationality>,335
<http://dbpedia.org/ontology/musicFusionGenre>,311
<http://dbpedia.org/ontology/locationCity>,309
<http://dbpedia.org/ontology/parentCompany>,307
<http://dbpedia.org/ontology/network>,294
<http://dbpedia.org/ontology/deathCause>,278
<http://dbpedia.org/ontology/largestCity>,272
<http://dbpedia.org/ontology/position>,269
<http://dbpedia.org/ontology/musicSubgenre>,264
<http://dbpedia.org/ontology/executiveProducer>,263
<http://dbpedia.org/ontology/capital>,260
<http://dbpedia.org/ontology/company>,257
<http://dbpedia.org/ontology/formerBandMember>,256
<http://dbpedia.org/ontology/headquarter>,252
<http://dbpedia.org/ontology/distributingCompany>,243
<http://dbpedia.org/ontology/distributingLabel>,243
<http://dbpedia.org/ontology/restingPlace>,242
<http://dbpedia.org/ontology/product>,241
<http://dbpedia.org/ontology/ground>,237
<http://dbpedia.org/ontology/spokenIn>,234
<http://dbpedia.org/ontology/league>,224
<http://dbpedia.org/ontology/relative>,220
<http://dbpedia.org/ontology/stateOfOrigin>,218
<http://dbpedia.org/ontology/leaderName>,217
<http://dbpedia.org/ontology/officialLanguage>,203
<http://dbpedia.org/ontology/party>,201
<http://dbpedia.org/ontology/region>,187
<http://dbpedia.org/ontology/creator>,185
<http://dbpedia.org/ontology/commander>,184
<http://dbpedia.org/ontology/countySeat>,182
<http://dbpedia.org/ontology/battle>,175
<http://dbpedia.org/ontology/bandMember>,170
<http://dbpedia.org/ontology/locationCountry>,170
<http://dbpedia.org/ontology/owningCompany>,169
<http://dbpedia.org/ontology/keyPerson>,169
<http://dbpedia.org/ontology/education>,165
<http://dbpedia.org/ontology/mainInterest>,164
<http://dbpedia.org/ontology/related>,164
<http://dbpedia.org/ontology/knownFor>,153
<http://dbpedia.org/ontology/presenter>,143
<http://dbpedia.org/ontology/voice>,137
<http://dbpedia.org/ontology/foundationPlace>,135
<http://dbpedia.org/ontology/ethnicGroup>,134
<http://dbpedia.org/ontology/owner>,118
<http://dbpedia.org/ontology/place>,118
<http://dbpedia.org/ontology/successor>,115
<http://dbpedia.org/ontology/composer>,112
<http://dbpedia.org/ontology/leaderParty>,108
<http://dbpedia.org/ontology/child>,106
<http://dbpedia.org/ontology/regionServed>,103
<http://dbpedia.org/ontology/languageFamily>,101
<http://dbpedia.org/ontology/parent>,100
<http://dbpedia.org/ontology/narrator>,95
<http://dbpedia.org/ontology/partner>,90
<http://dbpedia.org/ontology/subsidiary>,88
<http://dbpedia.org/ontology/currency>,83
<http://dbpedia.org/ontology/foundedBy>,81
<http://dbpedia.org/ontology/president>,81
<http://dbpedia.org/ontology/predecessor>,77
<http://dbpedia.org/ontology/sisterStation>,74
<http://dbpedia.org/ontology/ideology>,67
<http://dbpedia.org/ontology/channel>,63
<http://dbpedia.org/ontology/leader>,61
<http://dbpedia.org/ontology/citizenship>,57
<http://dbpedia.org/ontology/ethnicity>,57
<http://dbpedia.org/ontology/politicalPartyInLegislature>,54
<http://dbpedia.org/ontology/division>,52
<http://dbpedia.org/ontology/era>,51
<http://dbpedia.org/ontology/twinCountry>,50
<http://dbpedia.org/ontology/field>,50
<http://dbpedia.org/ontology/developer>,47
<http://dbpedia.org/ontology/profession>,46
<http://dbpedia.org/ontology/colour>,45
<http://dbpedia.org/ontology/movement>,44
<http://dbpedia.org/ontology/philosophicalSchool>,44
<http://dbpedia.org/ontology/sisterCollege>,44
<http://dbpedia.org/ontology/militaryBranch>,42
<http://dbpedia.org/ontology/basedOn>,38
<http://dbpedia.org/ontology/notableWork>,38
<http://dbpedia.org/ontology/computingPlatform>,38
<http://dbpedia.org/ontology/formerTeam>,37
<http://dbpedia.org/ontology/regionalLanguage>,36
<http://dbpedia.org/ontology/author>,36
<http://dbpedia.org/ontology/territory>,35
<http://dbpedia.org/ontology/federalState>,35
<http://dbpedia.org/ontology/isPartOfMilitaryConflict>,35
<http://dbpedia.org/ontology/part>,34
