,0
<http://dbpedia.org/ontology/Island>,15990
<http://dbpedia.org/ontology/PopulatedPlace>,7638
<http://www.wikidata.org/entity/Q486972>,7638
<http://dbpedia.org/ontology/Location>,7638
<http://dbpedia.org/ontology/Place>,7638
<http://dbpedia.org/ontology/Settlement>,7638
<http://schema.org/Place>,7638
<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson>,2976
<http://dbpedia.org/ontology/Person>,2976
<http://www.wikidata.org/entity/Q5>,2976
<http://www.wikidata.org/entity/Q215627>,2976
<http://schema.org/Person>,2976
<http://xmlns.com/foaf/0.1/Person>,2976
<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,2976
<http://dbpedia.org/ontology/Agent>,2976
<http://dbpedia.org/ontology/Economist>,2896
<http://dbpedia.org/resource/United_States>,2835
<http://dbpedia.org/ontology/Governor>,2472
<http://www.wikidata.org/entity/Q82955>,1148
<http://dbpedia.org/ontology/Politician>,1148
<http://dbpedia.org/resource/California>,1045
<http://dbpedia.org/ontology/Species>,1040
<http://dbpedia.org/ontology/Planet>,972
<http://dbpedia.org/resource/New_York>,902
<http://dbpedia.org/resource/United_Kingdom>,755
<http://dbpedia.org/resource/New_York_City>,725
<http://dbpedia.org/resource/Los_Angeles>,710
<http://dbpedia.org/resource/Eastern_Time_Zone>,690
<http://dbpedia.org/resource/Canada>,571
<http://dbpedia.org/ontology/Architect>,560
<http://dbpedia.org/resource/England>,510
<http://dbpedia.org/resource/Public_university>,477
<http://dbpedia.org/resource/Actor>,462
<http://dbpedia.org/ontology/CelestialBody>,458
<http://dbpedia.org/resource/India>,450
<http://dbpedia.org/resource/London>,401
<http://dbpedia.org/resource/Pacific_Time_Zone>,343
<http://dbpedia.org/resource/Rock_music>,337
<http://dbpedia.org/resource/Warner_Bros.>,333
<http://dbpedia.org/resource/Central_European_Time>,316
<http://dbpedia.org/resource/Germany>,290
<http://dbpedia.org/resource/Massachusetts>,287
<http://dbpedia.org/resource/Universal_Studios>,286
<http://dbpedia.org/resource/English_language>,286
<http://dbpedia.org/resource/Central_Time_Zone>,279
<http://dbpedia.org/resource/Warner_Bros._Records>,273
<http://dbpedia.org/resource/Paramount_Pictures>,268
<http://dbpedia.org/resource/Franciaország>,266
<http://dbpedia.org/resource/Jazz>,260
<http://dbpedia.org/resource/Film_director>,252
<http://dbpedia.org/resource/Film_producer>,251
<http://dbpedia.org/resource/Pop_music>,251
<http://dbpedia.org/resource/Pennsylvania>,250
<http://dbpedia.org/resource/Illinois>,249
<http://dbpedia.org/resource/Alternative_rock>,247
<http://dbpedia.org/ontology/Actor>,246
<http://dbpedia.org/resource/Screenwriter>,244
<http://dbpedia.org/resource/Association_of_American_Universities>,239
<http://dbpedia.org/resource/20th_Century_Fox>,239
<http://dbpedia.org/resource/Texas>,237
<http://dbpedia.org/resource/Columbia_Pictures>,236
<http://dbpedia.org/resource/Hip_hop_music>,232
<http://dbpedia.org/resource/Italy>,231
<http://dbpedia.org/resource/Australia>,228
<http://dbpedia.org/ontology/Member_of_Congress>,226
<http://dbpedia.org/resource/Chicago>,217
<http://dbpedia.org/resource/Drum_kit>,214
<http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures>,214
<http://dbpedia.org/resource/Bass_guitar>,211
<http://dbpedia.org/resource/Guitar>,204
<http://dbpedia.org/resource/Florida>,202
<http://dbpedia.org/resource/Ohio>,198
<http://dbpedia.org/resource/Columbia_Records>,191
<http://dbpedia.org/resource/Democratic_Party_(United_States)>,187
<http://dbpedia.org/resource/Punk_rock>,187
<http://dbpedia.org/resource/Universal_Music_Group>,182
<http://dbpedia.org/resource/Hard_rock>,182
<http://dbpedia.org/resource/Brooklyn>,180
<http://dbpedia.org/resource/Greenwich_Mean_Time>,178
<http://dbpedia.org/resource/Heavy_metal_music>,177
<http://dbpedia.org/resource/Unitary_state>,177
<http://dbpedia.org/resource/Private_university>,176
<http://dbpedia.org/resource/Atlantic_Records>,175
<http://dbpedia.org/resource/Virginia>,171
<http://dbpedia.org/resource/Keyboard_instrument>,170
<http://dbpedia.org/resource/Japan>,166
<http://dbpedia.org/resource/Piano>,160
<http://dbpedia.org/resource/Rhythm_and_blues>,155
<http://dbpedia.org/resource/Country_music>,154
<http://dbpedia.org/resource/Composer>,153
<http://dbpedia.org/resource/New_Jersey>,152
"<http://dbpedia.org/resource/Washington,_D.C.>",152
<http://dbpedia.org/resource/Michigan>,151
<http://dbpedia.org/resource/Cinematographer>,150
<http://dbpedia.org/resource/Ontario>,149
<http://dbpedia.org/resource/Sony_Music_Entertainment>,148
<http://dbpedia.org/resource/NBC>,148
<http://dbpedia.org/resource/Capitol_Records>,147
<http://dbpedia.org/resource/Contemporary_R&B>,147
<http://dbpedia.org/resource/Manhattan>,146
<http://dbpedia.org/resource/Funk>,146
<http://dbpedia.org/ontology/Astronaut>,144
<http://dbpedia.org/resource/French_language>,142
<http://dbpedia.org/resource/Synthesizer>,140
<http://dbpedia.org/resource/Mumbai>,140
<http://dbpedia.org/resource/Catholic_Church>,140
<http://dbpedia.org/resource/Progressive_rock>,138
<http://dbpedia.org/resource/Soul_music>,137
<http://dbpedia.org/resource/Epic_Records>,133
<http://dbpedia.org/resource/Blues_rock>,132
<http://dbpedia.org/resource/Private_school>,131
<http://dbpedia.org/resource/Republic_of_Ireland>,131
<http://dbpedia.org/resource/Virgin_Records>,128
<http://dbpedia.org/resource/Louisiana>,128
<http://dbpedia.org/resource/Psychedelic_rock>,128
<http://dbpedia.org/resource/Electric_guitar>,127
<http://dbpedia.org/resource/American_Broadcasting_Company>,126
<http://dbpedia.org/resource/RCA_Records>,126
<http://dbpedia.org/resource/Warner_Music_Group>,123
<http://dbpedia.org/resource/Drum_machine>,123
<http://dbpedia.org/resource/Pop_rock>,122
<http://www.wikidata.org/entity/Q483501>,122
<http://dbpedia.org/ontology/Artist>,122
<http://dbpedia.org/resource/Metro-Goldwyn-Mayer>,121
"<http://dbpedia.org/resource/Santa_Monica,_California>",120
<http://dbpedia.org/resource/Rock_and_roll>,120
<http://dbpedia.org/resource/United_Artists>,119
<http://dbpedia.org/resource/Blues>,118
<http://dbpedia.org/resource/Toronto>,117
<http://dbpedia.org/resource/Georgia_(U.S._state)>,117
<http://dbpedia.org/resource/Post-punk>,117
<http://dbpedia.org/resource/China>,117
<http://dbpedia.org/resource/North_Carolina>,117
<http://dbpedia.org/resource/Queens_of_the_Stone_Age>,116
<http://dbpedia.org/resource/Red_Hot_Chili_Peppers>,116
