,2
<http://dbpedia.org/ontology/Island>,15990
<http://dbpedia.org/ontology/Place>,7638
<http://dbpedia.org/ontology/PopulatedPlace>,7638
<http://www.wikidata.org/entity/Q486972>,7638
<http://schema.org/Place>,7638
<http://dbpedia.org/ontology/Settlement>,7638
<http://dbpedia.org/ontology/Location>,7638
<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson>,2976
<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,2976
<http://xmlns.com/foaf/0.1/Person>,2976
<http://www.wikidata.org/entity/Q5>,2976
<http://www.wikidata.org/entity/Q215627>,2976
<http://dbpedia.org/ontology/Person>,2976
<http://schema.org/Person>,2976
<http://dbpedia.org/ontology/Agent>,2976
<http://dbpedia.org/ontology/Economist>,2896
<http://dbpedia.org/ontology/Governor>,2472
<http://dbpedia.org/ontology/Politician>,1148
<http://www.wikidata.org/entity/Q82955>,1148
<http://dbpedia.org/ontology/Species>,1040
<http://dbpedia.org/ontology/Planet>,972
<http://dbpedia.org/ontology/Architect>,560
<http://dbpedia.org/ontology/CelestialBody>,458
<http://dbpedia.org/ontology/Actor>,246
<http://dbpedia.org/ontology/Member_of_Congress>,226
<http://dbpedia.org/ontology/Astronaut>,144
<http://www.wikidata.org/entity/Q483501>,122
<http://dbpedia.org/ontology/Artist>,122
<http://dbpedia.org/ontology/Athlete>,51
