,entity_id,entity_label,score,in_training,in_validation,in_testing,from_kge,from_atom
0,423,<http://dbpedia.org/resource/Alberto_Iglesias>,-2.057709217071533,False,False,False,True,Athlete(x)
1,11894,<http://dbpedia.org/resource/United_States_Army>,-2.0894064903259277,False,False,False,True,Athlete(x)
2,4261,<http://dbpedia.org/resource/George_Washington>,-2.1353325843811035,False,False,False,True,Athlete(x)
3,11651,<http://dbpedia.org/resource/Tony_Award_for_Best_Original_Score>,-2.144083023071289,False,False,False,True,Athlete(x)
4,5883,<http://dbpedia.org/resource/Jonathan_Lynn>,-2.145395278930664,False,False,False,True,Athlete(x)
5,12630,<http://dbpedia.org/resource/William_Morris>,-2.1500461101531982,False,False,False,True,Athlete(x)
6,1637,<http://dbpedia.org/resource/British_Columbia_Liberal_Party>,-2.159550666809082,False,False,False,True,Athlete(x)
7,4122,<http://dbpedia.org/resource/Gabon>,-2.1641745567321777,False,False,False,True,Athlete(x)
8,7725,<http://dbpedia.org/resource/Mumbai>,-2.1783671379089355,False,False,False,True,Athlete(x)
9,2653,<http://dbpedia.org/resource/Cris_Collinsworth>,-2.1944494247436523,False,False,False,True,Athlete(x)
10,6118,<http://dbpedia.org/resource/Keith_David>,-2.223501205444336,False,False,False,True,Athlete(x)
11,2997,<http://dbpedia.org/resource/Deathcore>,-2.2449753284454346,False,False,False,True,Athlete(x)
12,1330,<http://dbpedia.org/resource/Bill_Maher>,-2.2459821701049805,False,False,False,True,Athlete(x)
13,3127,<http://dbpedia.org/resource/Die_Hard_with_a_Vengeance>,-2.2491657733917236,False,False,False,True,Athlete(x)
14,1890,"<http://dbpedia.org/resource/Cape_May_County,_New_Jersey>",-2.250810146331787,False,False,False,True,Athlete(x)
15,1255,<http://dbpedia.org/resource/Benji_Madden>,-2.2761645317077637,False,False,False,True,Athlete(x)
16,7362,<http://dbpedia.org/resource/Miami_metropolitan_area>,-2.288212776184082,False,False,False,True,Athlete(x)
17,8053,<http://dbpedia.org/resource/Ninja_Tune>,-2.2948827743530273,False,False,False,True,Athlete(x)
18,10879,<http://dbpedia.org/resource/Tehran>,-2.2950615882873535,False,False,False,True,Athlete(x)
19,2402,<http://dbpedia.org/resource/Cochin_Haneefa>,-2.297788143157959,False,False,False,True,Athlete(x)
20,4059,<http://dbpedia.org/resource/French_horn>,-2.3167033195495605,False,False,False,True,Athlete(x)
21,9870,<http://dbpedia.org/resource/Scary_Movie_3>,-2.319148540496826,False,False,False,True,Athlete(x)
22,7862,<http://dbpedia.org/resource/National_Theatre_School_of_Canada>,-2.32326602935791,False,False,False,True,Athlete(x)
23,1154,"<http://dbpedia.org/resource/Baton_Rouge,_Louisiana>",-2.3277807235717773,False,False,False,True,Athlete(x)
24,7238,<http://dbpedia.org/resource/Maximilian_Schell>,-2.335313558578491,False,False,False,True,Athlete(x)
25,1187,"<http://dbpedia.org/resource/Beaver_County,_Pennsylvania>",-2.338646173477173,False,False,False,True,Athlete(x)
