,entity_id,entity_label,score,in_training,in_validation,in_testing,from_kge,from_atom
0,725,"<http://dbpedia.org/resource/Anniston,_Alabama>",-1.7745766639709473,False,False,False,True,Artist(y)
1,334,<http://dbpedia.org/resource/Aidan_Quinn>,-1.8451027870178223,False,False,False,True,Artist(y)
2,477,<http://dbpedia.org/resource/Alicia_Silverstone>,-2.117920160293579,False,False,False,True,Artist(y)
3,973,<http://dbpedia.org/resource/Austrian_Empire>,-2.2857699394226074,False,False,False,True,Artist(y)
4,937,<http://dbpedia.org/resource/Auckland>,-2.323655128479004,False,False,False,True,Artist(y)
5,3907,<http://dbpedia.org/resource/Flugelhorn>,-2.341386079788208,False,False,False,True,Artist(y)
6,4675,<http://dbpedia.org/resource/Hard_rock>,-2.3959555625915527,False,False,False,True,Artist(y)
7,978,<http://dbpedia.org/resource/Autoharp>,-2.4253430366516113,False,False,False,True,Artist(y)
8,3236,<http://dbpedia.org/resource/Dorset>,-2.4915175437927246,False,False,False,True,Artist(y)
9,2753,<http://dbpedia.org/resource/Dan_Grimaldi>,-2.5298428535461426,False,False,False,True,Artist(y)
10,5177,<http://dbpedia.org/resource/Information_technology>,-2.635390043258667,False,False,False,True,Artist(y)
11,8501,<http://dbpedia.org/resource/Paul_S._Fox>,-2.6489181518554688,False,False,False,True,Artist(y)
12,586,<http://dbpedia.org/resource/American_Zoetrope>,-2.700204849243164,False,False,False,True,Artist(y)
13,9766,<http://dbpedia.org/resource/San_Jose_Earthquakes>,-2.7436532974243164,False,False,False,True,Artist(y)
14,827,<http://dbpedia.org/resource/Arnold_Schoenberg>,-2.759788990020752,False,False,False,True,Artist(y)
15,7355,<http://dbpedia.org/resource/Mia_Farrow>,-2.7663426399230957,False,False,False,True,Artist(y)
16,4301,<http://dbpedia.org/resource/Ghost_(1990_film)>,-2.7820065021514893,False,False,False,True,Artist(y)
17,4492,"<http://dbpedia.org/resource/Greensboro,_North_Carolina>",-2.7919228076934814,False,False,False,True,Artist(y)
18,4207,<http://dbpedia.org/resource/Genoa>,-2.809382915496826,False,False,False,True,Artist(y)
19,4338,<http://dbpedia.org/resource/Giuseppe_Verdi>,-2.855562210083008,False,False,False,True,Artist(y)
20,3353,<http://dbpedia.org/resource/EA_Sports>,-2.860488176345825,False,False,False,True,Artist(y)
21,7835,<http://dbpedia.org/resource/Natalie_Portman>,-2.8621320724487305,False,False,False,True,Artist(y)
22,6082,<http://dbpedia.org/resource/Kate_Winslet>,-2.894430160522461,False,False,False,True,Artist(y)
23,3968,<http://dbpedia.org/resource/Francis_Ford_Coppola>,-2.9736921787261963,False,False,False,True,Artist(y)
24,10807,<http://dbpedia.org/resource/Taken_2>,-2.979830741882324,False,False,False,True,Artist(y)
25,1879,<http://dbpedia.org/resource/Cannes>,-3.0049362182617188,False,False,False,True,Artist(y)
26,6194,<http://dbpedia.org/resource/Kiefer_Sutherland>,-3.067934989929199,False,False,False,True,Artist(y)
27,7572,<http://dbpedia.org/resource/Mississippi_River>,-3.0783004760742188,False,False,False,True,Artist(y)
28,7367,<http://dbpedia.org/resource/Michael_Bell_(actor)>,-3.079220771789551,False,False,False,True,Artist(y)
29,2131,<http://dbpedia.org/resource/Chef>,-3.0989186763763428,False,False,False,True,Artist(y)
30,7453,<http://dbpedia.org/resource/Michelle_Yeoh>,-3.139103889465332,False,False,False,True,Artist(y)
31,5047,<http://dbpedia.org/resource/I.R.S._Records>,-3.2997450828552246,False,False,False,True,Artist(y)
32,4496,"<http://dbpedia.org/resource/Greenville,_South_Carolina>",-3.372751235961914,False,False,False,True,Artist(y)
33,1085,<http://dbpedia.org/resource/Bappi_Lahiri>,-3.446605682373047,False,False,False,True,Artist(y)
34,3536,<http://dbpedia.org/resource/Elliott_Smith>,-3.5129685401916504,False,False,False,True,Artist(y)
35,6827,<http://dbpedia.org/resource/Luther_(2003_film)>,-3.547325372695923,False,False,False,True,Artist(y)
36,5091,<http://dbpedia.org/resource/Idris_Elba>,-3.573005199432373,False,False,False,True,Artist(y)
37,8714,"<http://dbpedia.org/resource/Plainfield,_New_Jersey>",-3.6330819129943848,False,False,False,True,Artist(y)
38,91,<http://dbpedia.org/resource/3D_Realms>,-3.6485722064971924,False,False,False,True,Artist(y)
39,12384,<http://dbpedia.org/resource/Walter_Becker>,-3.6543145179748535,False,False,False,True,Artist(y)
40,2018,<http://dbpedia.org/resource/Cedric_the_Entertainer>,-3.6667227745056152,False,False,False,True,Artist(y)
41,2387,<http://dbpedia.org/resource/Clothing>,-3.6679487228393555,False,False,False,True,Artist(y)
42,2479,<http://dbpedia.org/resource/Common_(rapper)>,-3.693084239959717,False,False,False,True,Artist(y)
